agent,operation,date,amount
3,issuance,2025-06-01,81.31
7,issuance,2025-06-01,83.79
6,issuance,2025-06-02,59.23
1,renewal,2025-06-02,79.78
2,renewal,2025-06-02,69.9
9,endorsement,2025-06-02,89.43
1,issuance,2025-06-03,29.74
10,renewal,2025-06-03,39.06
10,issuance,2025-06-03,99.93
2,cancellation,2025-06-03,79.56
8,renewal,2025-06-03,22.23
1,renewal,2025-06-03,24.15
3,endorsement,2025-06-03,53.95
1,renewal,2025-06-03,92.49
4,renewal,2025-06-03,68.06
6,renewal,2025-06-03,36.52
9,renewal,2025-06-03,58.95
7,issuance,2025-06-03,92.79
1,renewal,2025-06-03,69.54
1,renewal,2025-06-03,22.17
9,cancellation,2025-06-04,92.65
3,renewal,2025-06-05,46.21
7,renewal,2025-06-05,89.35
4,issuance,2025-06-05,49.98
3,issuance,2025-06-05,94.07
7,renewal,2025-06-05,85.02
1,renewal,2025-06-05,63.61
10,issuance,2025-06-05,54.34
5,issuance,2025-06-05,33.88
2,cancellation,2025-06-05,51.97
4,cancellation,2025-06-05,41.03
1,renewal,2025-06-05,26.05
3,issuance,2025-06-05,30.41
6,issuance,2025-06-05,68.9
8,issuance,2025-06-05,72.91
10,endorsement,2025-06-05,43.45
5,issuance,2025-06-05,72.58
5,issuance,2025-06-05,38.31
4,renewal,2025-06-05,16.1
9,endorsement,2025-06-05,75.34
6,endorsement,2025-06-05,88.32
6,renewal,2025-06-05,49.64
3,issuance,2025-06-05,74.02
7,renewal,2025-06-05,65.51
3,renewal,2025-06-05,32.55
2,issuance,2025-06-05,24.78
6,renewal,2025-06-06,22.35
6,issuance,2025-06-06,85.36
8,cancellation,2025-06-06,66.54
10,renewal,2025-06-06,80.3
8,renewal,2025-06-06,22.1
2,cancellation,2025-06-07,42.24
9,issuance,2025-06-08,58.09
5,renewal,2025-06-08,83.16
6,issuance,2025-06-08,70.64
4,issuance,2025-06-09,29.22
3,issuance,2025-06-09,78.84
8,renewal,2025-06-09,39.13
9,endorsement,2025-06-09,29.82
1,renewal,2025-06-09,50.3
6,renewal,2025-06-09,52.48
6,renewal,2025-06-09,88.68
10,renewal,2025-06-09,29.92
1,renewal,2025-06-10,91.6
8,renewal,2025-06-10,32.01
5,issuance,2025-06-10,20.37
9,issuance,2025-06-10,32.18
7,issuance,2025-06-10,47.31
6,issuance,2025-06-11,63.29
8,renewal,2025-06-11,89.55
1,renewal,2025-06-12,96.76
5,renewal,2025-06-12,41.54
5,cancellation,2025-06-13,52.47
8,issuance,2025-06-13,40.22
2,issuance,2025-06-13,42.38
5,endorsement,2025-06-14,37.26
9,issuance,2025-06-15,64.13
1,issuance,2025-06-15,53.64
10,renewal,2025-06-16,93.81
10,renewal,2025-06-16,38.05
3,issuance,2025-06-16,70.5
3,issuance,2025-06-16,91.2
4,issuance,2025-06-16,53.21
2,issuance,2025-06-16,48.79
6,renewal,2025-06-16,18.08
7,issuance,2025-06-17,16.69
6,renewal,2025-06-17,70.05
5,endorsement,2025-06-17,94.07
3,issuance,2025-06-17,58.13
7,issuance,2025-06-17,38.06
6,issuance,2025-06-17,83.31
3,issuance,2025-06-17,31.17
3,issuance,2025-06-17,99.33
10,renewal,2025-06-17,74.05
8,cancellation,2025-06-17,64.34
1,cancellation,2025-06-17,92.63
4,issuance,2025-06-17,66.05
7,renewal,2025-06-18,49.22
8,renewal,2025-06-18,46.11
4,issuance,2025-06-18,77.63
2,renewal,2025-06-19,89.85
1,issuance,2025-06-19,19.97
4,renewal,2025-06-19,23.36
10,endorsement,2025-06-19,94.41
8,issuance,2025-06-19,50.21
1,renewal,2025-06-19,64.97
10,renewal,2025-06-19,59.84
6,issuance,2025-06-19,94.8
8,renewal,2025-06-20,75.82
10,issuance,2025-06-20,38.87
5,issuance,2025-06-20,81.91
1,issuance,2025-06-21,39.01
4,renewal,2025-06-21,36.09
3,issuance,2025-06-21,98.43
7,issuance,2025-06-21,86.06
1,renewal,2025-06-21,21.35
5,renewal,2025-06-21,51.04
1,renewal,2025-06-22,91.91
6,issuance,2025-06-22,26.14
1,cancellation,2025-06-22,15.14
4,renewal,2025-06-23,69.83
1,issuance,2025-06-23,85.16
7,issuance,2025-06-23,20.49
6,issuance,2025-06-24,33.21
6,issuance,2025-06-24,26.87
1,renewal,2025-06-24,20.25
4,cancellation,2025-06-25,29.1
1,issuance,2025-06-25,46.32
3,issuance,2025-06-25,24.37
8,renewal,2025-06-26,82.49
6,issuance,2025-06-27,24.53
1,cancellation,2025-06-27,46.23
5,renewal,2025-06-28,62.76
8,issuance,2025-06-28,70.5
3,endorsement,2025-06-28,28.15
10,issuance,2025-06-29,53.08
8,endorsement,2025-06-29,88.95
9,renewal,2025-06-29,26.52
1,cancellation,2025-06-29,66.95
2,issuance,2025-06-29,68.43
6,renewal,2025-06-30,93.33
4,issuance,2025-06-30,22.92
8,renewal,2025-07-01,61.53
3,renewal,2025-07-01,24.57
9,cancellation,2025-07-01,68.36
1,issuance,2025-07-01,49.71
8,renewal,2025-07-02,34.07
4,renewal,2025-07-02,21.03
10,issuance,2025-07-02,49.39
9,renewal,2025-07-02,38.71
7,renewal,2025-07-02,80.72
9,endorsement,2025-07-02,40.09
2,issuance,2025-07-03,27.53
3,renewal,2025-07-03,49.22
9,renewal,2025-07-03,35.31
10,renewal,2025-07-03,23.77
1,cancellation,2025-07-03,44.15
7,renewal,2025-07-03,66.47
1,renewal,2025-07-03,37.79
6,issuance,2025-07-03,15.93
8,renewal,2025-07-03,51.33
10,issuance,2025-07-03,31.18
10,renewal,2025-07-03,56.6
10,endorsement,2025-07-03,24.76
2,issuance,2025-07-03,39.56
3,renewal,2025-07-03,45.39
1,renewal,2025-07-03,89.87
2,renewal,2025-07-03,48.67
6,renewal,2025-07-03,65.98
8,issuance,2025-07-04,86.55
9,cancellation,2025-07-04,25.63
2,issuance,2025-07-04,30.17
9,renewal,2025-07-05,21.64
3,renewal,2025-07-05,82.88
8,cancellation,2025-07-06,19.23
5,renewal,2025-07-06,84.46
3,renewal,2025-07-06,61.46
1,endorsement,2025-07-06,41.31
1,issuance,2025-07-06,72.76
2,endorsement,2025-07-06,77.98
8,renewal,2025-07-06,58.81
5,renewal,2025-07-06,20.14
3,endorsement,2025-07-07,82.99
4,cancellation,2025-07-07,83.46
1,renewal,2025-07-07,39.73
4,renewal,2025-07-07,69.23
7,issuance,2025-07-08,79.99
7,renewal,2025-07-08,68.6
4,endorsement,2025-07-08,50.13
9,issuance,2025-07-09,85.81
9,renewal,2025-07-09,85.87
10,endorsement,2025-07-09,96.97
8,issuance,2025-07-09,19.09
6,issuance,2025-07-09,24.47
7,renewal,2025-07-09,82.29
3,issuance,2025-07-09,35.24
9,renewal,2025-07-09,28.7
9,endorsement,2025-07-09,88.88
9,renewal,2025-07-10,97.19
9,issuance,2025-07-10,21.2
4,renewal,2025-07-10,83.7
3,renewal,2025-07-10,71
5,renewal,2025-07-10,56.28
1,issuance,2025-07-10,93.42
6,renewal,2025-07-10,53.75
4,renewal,2025-07-10,15.53
7,renewal,2025-07-10,62.73
8,renewal,2025-07-10,19.52
3,issuance,2025-07-10,27.29
4,cancellation,2025-07-10,66.08
7,renewal,2025-07-10,66.65
4,endorsement,2025-07-10,52.78
6,endorsement,2025-07-10,84.22
4,renewal,2025-07-10,81.86
6,renewal,2025-07-10,87.2
10,renewal,2025-07-10,76.16
5,renewal,2025-07-10,30.65
7,renewal,2025-07-10,65.26
2,issuance,2025-07-11,71.42
7,renewal,2025-07-11,71.44
7,renewal,2025-07-12,58.35
3,issuance,2025-07-12,44.01
5,renewal,2025-07-12,90.01
9,renewal,2025-07-12,69.65
8,issuance,2025-07-12,75.61
5,issuance,2025-07-12,74.99
6,renewal,2025-07-12,61.22
10,renewal,2025-07-12,96.82
5,issuance,2025-07-12,33
4,cancellation,2025-07-12,31.5
10,renewal,2025-07-12,27.82
7,renewal,2025-07-12,17.99
4,endorsement,2025-07-12,21.02
2,cancellation,2025-07-13,67.17
9,issuance,2025-07-14,50.08
1,renewal,2025-07-14,35.33
1,issuance,2025-07-14,24.98
8,renewal,2025-07-14,27.7
6,cancellation,2025-07-14,76.08
5,cancellation,2025-07-14,57.46
2,renewal,2025-07-15,87.53
2,issuance,2025-07-16,18.18
1,issuance,2025-07-17,70.91
5,issuance,2025-07-18,20.45
9,renewal,2025-07-18,73.42
10,issuance,2025-07-18,91.57
6,renewal,2025-07-18,57.62
2,cancellation,2025-07-18,19.68
8,endorsement,2025-07-18,78.56
10,renewal,2025-07-18,25.82
10,renewal,2025-07-18,98.58
3,renewal,2025-07-18,52.93
2,issuance,2025-07-19,28.06
10,renewal,2025-07-19,97.77
2,endorsement,2025-07-19,98.39
1,renewal,2025-07-19,85.68
1,renewal,2025-07-19,30.04
7,cancellation,2025-07-19,99.11
3,renewal,2025-07-19,86.81
1,endorsement,2025-07-20,25.06
1,renewal,2025-07-20,16.26
2,renewal,2025-07-21,38.32
2,cancellation,2025-07-21,96.17
1,renewal,2025-07-21,65.96
1,issuance,2025-07-21,48.65
4,renewal,2025-07-22,80.93
8,renewal,2025-07-22,52.02
10,renewal,2025-07-23,72.91
2,renewal,2025-07-23,90.65
9,renewal,2025-07-23,71.1
10,renewal,2025-07-24,33.65
3,renewal,2025-07-24,72.08
2,issuance,2025-07-24,63.1
4,renewal,2025-07-24,68.95
1,cancellation,2025-07-24,32.04
2,issuance,2025-07-25,68.4
9,issuance,2025-07-26,77.25
5,renewal,2025-07-27,30.51
2,renewal,2025-07-27,53.05
10,issuance,2025-07-27,67.53
5,renewal,2025-07-27,35.02
10,renewal,2025-07-27,57.61
8,cancellation,2025-07-27,41.62
2,cancellation,2025-07-27,37.3
2,renewal,2025-07-27,40.19
9,renewal,2025-07-27,15.14
5,endorsement,2025-07-27,78.71
4,renewal,2025-07-27,57.89
8,issuance,2025-07-27,74.13
1,cancellation,2025-07-27,33.2
9,issuance,2025-07-27,63.9
6,issuance,2025-07-28,44.64
9,renewal,2025-07-28,71.55
5,issuance,2025-07-28,86.54
2,issuance,2025-07-28,91.5
4,renewal,2025-07-28,84.35
8,renewal,2025-07-28,76.51
4,cancellation,2025-07-28,67.32
9,cancellation,2025-07-28,23.75
6,renewal,2025-07-28,79
8,issuance,2025-07-29,70.74
10,cancellation,2025-07-30,16.69
3,renewal,2025-07-30,63.25
1,renewal,2025-07-31,98.11
10,issuance,2025-07-31,99.28
5,cancellation,2025-08-01,58.22
